"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         308,      -9.257614912,       -7.32184159,      -6.643740019,      -3.778184032
          0,           0,         309,      -9.261541695,      -7.302421536,      -6.650270297,      -3.782061767
          0,           0,         310,       -9.27046002,      -7.285332986,      -6.663287419,      -3.790803408
          0,           0,         311,      -9.285716864,      -7.282458688,      -6.682389219,      -3.805832567
          0,           0,         312,      -9.306061632,      -7.298544152,      -6.704695702,      -3.826001667
          0,           0,         313,      -9.328731113,      -7.332255364,      -6.726271754,      -3.848623561
          0,           0,         314,      -9.349044162,      -7.377592289,      -6.742511415,      -3.869053131
          0,           0,         315,       -9.36366706,      -7.421296254,      -6.752069415,       -3.88390763
          0,           0,         316,      -9.371612282,       -7.44579125,      -6.756472335,      -3.892078614
          0,           0,         317,      -9.374952236,      -7.443718368,      -6.759314324,       -3.89553507
          0,           0,         318,      -9.378237557,      -7.425590961,      -6.764947071,      -3.898786905
          0,           0,         319,      -9.385699775,      -7.408171429,      -6.776277973,       -3.90609315
          0,           0,         320,      -9.399170159,      -7.403283653,      -6.793537484,      -3.919353072
          0,           0,         321,      -9.417641391,       -7.41650772,      -6.814057853,      -3.937653685
          0,           0,         322,       -9.43881541,      -7.447102651,      -6.834450571,      -3.958773202
          0,           0,         323,      -9.458533689,       -7.48944369,      -6.850460704,      -3.978585509
          0,           0,         324,      -9.473254808,      -7.531629664,      -6.860277275,      -3.993515175
          0,           0,         325,      -9.481792793,      -7.556678616,       -6.86516396,      -4.002265811
          0,           0,         326,      -9.485473045,      -7.556298293,      -6.868070822,      -4.006063643
          0,           0,         327,      -9.488329223,      -7.539118171,      -6.873048984,      -4.008898309
